artist,title,album,added_at,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Akano,"Through My Blood (From ""Kabaneri of the Iron Fortress"") - Remix",Anime Remixes,2021-02-12T17:49:54Z,0.18,0.668,3,-11.416,0,0.0333,0.00756,0,0.337,0.203,96.002,audio_features,4LBV0wJSrPxvTUSrLmubhQ,spotify:track:4LBV0wJSrPxvTUSrLmubhQ,https://api.spotify.com/v1/tracks/4LBV0wJSrPxvTUSrLmubhQ,https://api.spotify.com/v1/audio-analysis/4LBV0wJSrPxvTUSrLmubhQ,185051,3
Space Junk is Forever,Lovely Lonely 5,Lovely Lonely 5,2021-02-10T19:19:47Z,0.725,0.579,8,-11.972,1,0.0284,0.0973,0.801,0.296,0.694,107.492,audio_features,0gE6XDZw7lzrdCaVrm7kHF,spotify:track:0gE6XDZw7lzrdCaVrm7kHF,https://api.spotify.com/v1/tracks/0gE6XDZw7lzrdCaVrm7kHF,https://api.spotify.com/v1/audio-analysis/0gE6XDZw7lzrdCaVrm7kHF,161001,1
Sara Haider,Ae Dil Kisi Ki Yaad Mein,Coke Studio Season 8,2021-02-05T17:39:41Z,0.276,0.688,5,-4.537,1,0.0398,0.0939,0,0.152,0.196,140.864,audio_features,335kskxwq8xBigEXYBQ61e,spotify:track:335kskxwq8xBigEXYBQ61e,https://api.spotify.com/v1/tracks/335kskxwq8xBigEXYBQ61e,https://api.spotify.com/v1/audio-analysis/335kskxwq8xBigEXYBQ61e,355561,3
One Voice Children's Choir,Memories,Memories,2021-02-02T17:35:01Z,0.577,0.295,2,-6.433,1,0.056,0.842,0,0.144,0.588,181.843,audio_features,0SXnlReZLXEEMIKQKZoeZm,spotify:track:0SXnlReZLXEEMIKQKZoeZm,https://api.spotify.com/v1/tracks/0SXnlReZLXEEMIKQKZoeZm,https://api.spotify.com/v1/audio-analysis/0SXnlReZLXEEMIKQKZoeZm,209552,4
Hiroyuki Sawano,You See Big Girl / T:T,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",2021-01-31T14:03:14Z,0.186,0.679,7,-7.884,0,0.0441,0.00756,0.884,0.128,0.227,86.867,audio_features,4dHOnPucB5VBYq3gjRtYy9,spotify:track:4dHOnPucB5VBYq3gjRtYy9,https://api.spotify.com/v1/tracks/4dHOnPucB5VBYq3gjRtYy9,https://api.spotify.com/v1/audio-analysis/4dHOnPucB5VBYq3gjRtYy9,359347,4
Hiroyuki Sawano,The Reluctant Heroes,"TV Anime ""Attack on Titan"" Original Soundtrack",2021-01-31T09:41:20Z,0.552,0.804,11,-7.233,0,0.0968,0.00486,2.75e-05,0.414,0.543,127.039,audio_features,6zSXcvXQ8T74fXm72OpSOb,spotify:track:6zSXcvXQ8T74fXm72OpSOb,https://api.spotify.com/v1/tracks/6zSXcvXQ8T74fXm72OpSOb,https://api.spotify.com/v1/audio-analysis/6zSXcvXQ8T74fXm72OpSOb,267120,4
Yoshiki,Red Swan,Red Swan,2021-01-30T13:21:56Z,0.275,0.782,10,-4.689,1,0.0467,0.0521,2.25e-06,0.331,0.154,131.744,audio_features,4GNMgGyZcgnE4nEdYFWJGn,spotify:track:4GNMgGyZcgnE4nEdYFWJGn,https://api.spotify.com/v1/tracks/4GNMgGyZcgnE4nEdYFWJGn,https://api.spotify.com/v1/audio-analysis/4GNMgGyZcgnE4nEdYFWJGn,263720,4
Zero Point Perspective,Collision,Vantage Point,2021-01-30T13:02:55Z,0.542,0.708,8,-9.703,1,0.0361,0.000975,0.898,0.138,0.214,146.932,audio_features,4BCe2Iuo4Yq5wKDCNI8HX0,spotify:track:4BCe2Iuo4Yq5wKDCNI8HX0,https://api.spotify.com/v1/tracks/4BCe2Iuo4Yq5wKDCNI8HX0,https://api.spotify.com/v1/audio-analysis/4BCe2Iuo4Yq5wKDCNI8HX0,296128,4
Zero Point Perspective,Point Zero,Vantage Point,2021-01-30T12:55:06Z,0.516,0.666,8,-11.094,1,0.0347,4.74e-05,0.862,0.194,0.111,100.034,audio_features,2sM8Mh2rZQUw620egzuR6M,spotify:track:2sM8Mh2rZQUw620egzuR6M,https://api.spotify.com/v1/tracks/2sM8Mh2rZQUw620egzuR6M,https://api.spotify.com/v1/audio-analysis/2sM8Mh2rZQUw620egzuR6M,106200,4
Zero Point Perspective,Redefined,Vantage Point,2021-01-30T12:55:02Z,0.368,0.796,8,-9.45,1,0.0432,0.000288,0.821,0.087,0.305,119.998,audio_features,4I4DIij3Fv8hsGq6pm5PuQ,spotify:track:4I4DIij3Fv8hsGq6pm5PuQ,https://api.spotify.com/v1/tracks/4I4DIij3Fv8hsGq6pm5PuQ,https://api.spotify.com/v1/audio-analysis/4I4DIij3Fv8hsGq6pm5PuQ,276000,4
